ccard,ccn,key,pin,quota,validthru
American Express,3608-2968-5745-1804,5065,993,1000,Dec/2025
American Express,3608-1333-4580-1185,2377,277,1300,Jan/2025
American Express,3608-2596-5551-1572,4107,438,1500,Jul/2024
American Express,3608-1782-5890-1999,3195,732,1600,Nov/2021
American Express,3608-1333-4668-1344,4154,411,1000,Jun/2024
American Express,3608-1782-4951-1399,5509,681,1300,Dec/2025
American Express,3608-1333-4951-1355,6988,746,1600,Feb/2023
American Express,3608-2968-5745-1182,6017,131,1200,Mar/2020
American Express,3608-2596-4994-1718,3439,904,1600,Jun/2022
American Express,3608-2800-4523-1134,6597,991,1500,Jul/2024
American Express,3608-1395-5745-1216,7460,428,1700,Dec/2018
American Express,3608-2596-4711-1255,2167,527,1100,Oct/2024
American Express,3608-1192-5766-1394,2019,344,1800,Feb/2020
American Express,3608-1682-5470-1217,3968,655,1600,May/2024
American Express,3608-2067-5489-1134,7890,929,1800,Aug/2024
American Express,3608-2596-4158-1361,7105,251,1500,Jan/2025
American Express,3608-2181-5691-1839,6461,343,1300,Feb/2024
American Express,3608-2181-5638-1300,6816,961,1600,Jan/2024
American Express,3608-2800-5015-1617,7375,878,1300,Jan/2025
American Express,3608-2596-5632-1637,6170,213,1700,May/2020
American Express,3608-1333-5983-1693,5655,186,1600,Jul/2020
American Express,3608-1721-5634-1056,5315,436,1000,Sep/2018
American Express,3608-1682-4383-1130,3242,873,1500,Dec/2018
American Express,3608-2507-5634-1190,4013,948,1400,Aug/2022
American Express,3608-2751-5890-1916,6297,883,1200,Mar/2024
American Express,3608-2181-4458-1399,6270,242,1200,May/2021
American Express,3608-1395-5030-1474,5983,504,1300,Dec/2020
American Express,3608-1721-4344-1686,2332,679,1900,Mar/2023
American Express,3608-2968-5632-1214,6409,587,1200,Mar/2020
American Express,3608-2800-4580-1839,4826,880,1900,Dec/2023
American Express,3608-2968-5983-1596,6986,978,1900,Dec/2023
American Express,3608-1395-5407-1794,4721,838,1800,Feb/2022
American Express,3608-2067-4329-1377,5472,470,1200,Jan/2025
